time,open,high,low,close,tick_volume,spread,real_volume
1724406060,1.11265,1.11266,1.11259,1.11264,46,0,0
1724406120,1.11264,1.11267,1.11259,1.11265,26,0,0
1724406180,1.11264,1.11271,1.11264,1.11271,23,0,0
1724406240,1.11271,1.11271,1.11269,1.1127,10,0,0
1724406300,1.11271,1.11271,1.1126800000000001,1.11269,9,0,0
1724406360,1.11269,1.11271,1.1126,1.11265,25,0,0
1724406420,1.11265,1.1127,1.11263,1.11269,32,0,0
1724406480,1.11269,1.11271,1.1126800000000001,1.1126800000000001,33,0,0
1724406540,1.1126800000000001,1.11286,1.11266,1.11286,43,0,0
1724406600,1.11286,1.11287,1.11279,1.11286,51,0,0
1724406660,1.11286,1.11304,1.11286,1.113,33,0,0
1724406720,1.113,1.11303,1.11289,1.1129,60,0,0
1724406780,1.1129,1.11294,1.11278,1.11279,67,0,0
1724406840,1.11279,1.11296,1.11278,1.11296,71,0,0
1724406900,1.11296,1.11301,1.1129,1.11301,46,0,0
1724406960,1.11301,1.11306,1.11295,1.11305,36,0,0
1724407020,1.11305,1.11305,1.11295,1.11295,17,0,0
1724407080,1.11295,1.11296,1.11291,1.11296,47,0,0
1724407140,1.11296,1.11299,1.11283,1.11285,69,0,0
1724407200,1.11285,1.11287,1.11278,1.11279,34,0,0
1724407260,1.11279,1.11281,1.11265,1.11276,56,0,0
1724407320,1.11276,1.11286,1.11273,1.11281,68,0,0
1724407380,1.11281,1.11292,1.11271,1.11292,65,0,0
1724407440,1.11291,1.11296,1.11282,1.11296,73,0,0
1724407500,1.11296,1.11319,1.11293,1.11316,82,0,0
1724407560,1.11317,1.1132,1.1131199999999999,1.11313,101,0,0
1724407620,1.11313,1.11317,1.11307,1.11317,61,0,0
1724407680,1.11317,1.11317,1.11294,1.11297,51,0,0
1724407740,1.11296,1.11299,1.11277,1.11278,91,0,0
1724407800,1.11277,1.11279,1.11266,1.11278,108,0,0
1724407860,1.11279,1.11303,1.11277,1.11303,100,0,0
1724407920,1.11303,1.11316,1.11288,1.11288,62,0,0
1724407980,1.11288,1.11293,1.11278,1.11293,64,0,0
1724408040,1.11292,1.11304,1.11292,1.11302,73,0,0
1724408100,1.11302,1.11305,1.11287,1.11288,44,0,0
1724408160,1.11288,1.11297,1.11277,1.11278,56,0,0
1724408220,1.11277,1.1128,1.11266,1.11267,61,0,0
1724408280,1.11267,1.11273,1.11258,1.1126800000000001,68,0,0
1724408340,1.1126800000000001,1.11272,1.11255,1.11264,90,0,0
1724408400,1.11264,1.11269,1.11259,1.11261,44,0,0
1724408460,1.11261,1.1126800000000001,1.11257,1.1126800000000001,59,0,0
1724408520,1.1126800000000001,1.11274,1.11267,1.11274,32,0,0
1724408580,1.11274,1.11274,1.11244,1.11244,62,0,0
1724408640,1.11244,1.11245,1.11241,1.11242,58,0,0
1724408700,1.11242,1.11249,1.11241,1.11249,21,0,0
1724408760,1.11249,1.11254,1.11241,1.11242,31,0,0
1724408820,1.11242,1.1125099999999999,1.11242,1.11243,41,0,0
1724408880,1.11243,1.11243,1.11236,1.11237,38,0,0
1724408940,1.11237,1.11238,1.11221,1.11224,54,0,0
1724409000,1.11224,1.11232,1.11217,1.11221,85,0,0
1724409060,1.11221,1.11225,1.11216,1.11222,29,0,0
1724409120,1.11222,1.11223,1.11212,1.11213,28,0,0
1724409180,1.11212,1.11221,1.11203,1.1122,65,0,0
1724409240,1.1122,1.11222,1.11216,1.1122,26,0,0
1724409300,1.1122,1.11227,1.1122,1.11222,54,0,0
1724409360,1.11223,1.11225,1.11215,1.11217,25,0,0
1724409420,1.11217,1.1122,1.11202,1.1122,115,0,0
1724409480,1.1122,1.11226,1.11204,1.11204,88,0,0
1724409540,1.11204,1.11206,1.11178,1.1118,87,0,0
1724409600,1.1118,1.11183,1.1114600000000001,1.11149,82,0,0
1724409660,1.11149,1.11158,1.11143,1.11149,75,0,0
1724409720,1.11149,1.11162,1.11145,1.11161,50,0,0
1724409780,1.11161,1.11174,1.11161,1.11171,68,0,0
1724409840,1.11171,1.11174,1.11155,1.11156,49,0,0
1724409900,1.11156,1.11168,1.11155,1.11162,71,0,0
1724409960,1.11162,1.11163,1.11155,1.11157,45,0,0
1724410020,1.11157,1.11157,1.11133,1.11142,55,0,0
1724410080,1.11142,1.11156,1.11137,1.11138,31,0,0
1724410140,1.11137,1.11149,1.11136,1.11147,53,0,0
1724410200,1.11147,1.11149,1.11127,1.11132,76,0,0
1724410260,1.11132,1.11147,1.11126,1.11147,45,0,0
1724410320,1.11147,1.1117,1.11147,1.11167,45,0,0
1724410380,1.11167,1.11179,1.11161,1.11173,58,0,0
1724410440,1.11173,1.11182,1.11173,1.11179,21,0,0
1724410500,1.11179,1.11191,1.11176,1.11187,57,0,0
1724410560,1.11187,1.11197,1.11186,1.11192,38,0,0
