time,open,high,low,close,tick_volume,spread,real_volume,ema_short,ema_long,macd,signal,macd_cross,macd_cross_prev,macd_event
1724419500,1.11165,1.11175,1.11165,1.11175,20,0,0,1.1117131950192916,1.111780818486409,-6.762346711752798e-05,-7.281148914672279e-05,True,False,True
1724421180,1.11213,1.11215,1.11203,1.11203,56,0,0,1.1120883850012706,1.1119951784358197,9.320656545086514e-05,9.480953466194648e-05,False,True,True
1724422620,1.11162,1.11165,1.11162,1.11162,38,0,0,1.1116309850469204,1.1117282368071628,-9.725176024244497e-05,-9.817882548010713e-05,True,False,True
1724422860,1.1115,1.11152,1.11131,1.11137,25,0,0,1.1115603330440798,1.1116664068500512,-0.00010607380597149607,-9.775839320603027e-05,False,True,True
1724422980,1.1115,1.11154,1.1115,1.11153,14,0,0,1.1115478124161753,1.1116448892747353,-9.707685855997461e-05,-9.846544407041037e-05,True,False,True
1724423040,1.11153,1.11159,1.11143,1.11143,23,0,0,1.1115296874290714,1.1116289715506809,-9.928412160942202e-05,-9.86291795782127e-05,False,True,True
1724423700,1.1112,1.11135,1.11119,1.11134,65,0,0,1.1112686167725592,1.1113980357236666,-0.0001294189511074073,-0.0001350435515751296,True,False,True
1724425260,1.11196,1.11199,1.11188,1.11194,63,0,0,1.1119179384396314,1.111791998299493,0.00012594014013833643,0.00012869814745899492,False,True,True
1724425380,1.11205,1.1121,1.11198,1.11209,56,0,0,1.1119616008946474,1.1118317680894148,0.0001298328052325992,0.00012867674601185224,True,False,True
1724425440,1.11209,1.1121,1.11199,1.11202,51,0,0,1.111970585372394,1.1118457111939026,0.00012487417849138538,0.00012791623250775887,False,True,True
1724425560,1.11209,1.11218,1.11208,1.11214,46,0,0,1.112012194260708,1.1118842654268712,0.00012792883383672127,0.0001274761863791899,True,False,True
1724426040,1.11224,1.11225,1.11218,1.11224,53,0,0,1.1121733821988298,1.112041302974813,0.00013207922401670125,0.0001334191030664503,False,True,True
1724427480,1.11142,1.11145,1.1114,1.1114,32,0,0,1.111439104581684,1.1115759239452578,-0.00013681936357379243,-0.0001398727302561549,True,False,True
